problem,0,1,2,3
" Haster department store has been expanding its online shopping, ------- most of its customers still prefer going into the store. ", so, for, but, and
 Yesterday afternoon the secretary ------- 20 copies of the meeting agenda for the people who are attending. , prepared, is, will, has
 All visitors to the hospital must enter ------- because patients may be sleeping and should not be disturbed. , poorly, evenly, ideally, quietly
 Roger Johnson and his assistant ------- to China three times already in order to supervise construction of the new plant. , traveling, are, are, have
" ------- the opening talk at the technology conference, there was a presentation on emerging forms of machinery. ", Follows, Followed, Following, Having
" Having been acquired by a corporation, Allbara will be known under a different name, Moseica, ------- April 17 next month. ", since, from, except, under
 A few secretaries have been assigned to  ------- the new filing system so that it will be easier for people to use. , recycle, elevate, organize, condition
" ------- all employees that their jobs would be secure for several years, Elaine Franklin said Alumee would not be sold. ", Assure, Assuring, Assured, Assurances
 Customer service operators should respond to recorded messages ------- in order to guarantee clients get quick service. , lately, ideally, recently, promptly
" Nespray Incorporated, which was mainly a computer company, is offering several new  ------- in its line of cell phones. ", product, products, productions, producers
" No staff members have been asked to work during the vacation season, ------- several will likely be needed. ", notwithstanding, whereas, although, except
" Once employees have ------- completed the training program, each will be assigned to their permanent positions. ", success, succeed, successful, successfully
 The company engineering manager ------- inspects each of the factories to see if any upgrades are needed for the equipment. , regular, regularly, regulated, regulation
 All antiques sold at Rememory’s are in excellent ------- as they have been refurbished by professionals working in the store. , function, condition, efficiency, arrangement
" The new Little Lulu doll ------- with several accessories that should be appealing to young girls, like brushes. ", is, will, will, having
" ------- pictures in Esteband’s brochures were taken by a professional photographer, though a few were from company workers. ", Each, Most, Every, Much
 A good tour guide will not only ------- interesting sights to tourists but will also explain some of the relevant local history. , sit, look, reach, point
 Gumbold’s management team wants to improve ------- by a third in order to increase the number of video cameras they manufacturer.  , quality, rewards, selection, productivity
" Employees of Caloma Enterprises ------- make use of the company gym because it is free, which is why the facility is popular. ", often, rarely, seldom, occasionally
 The designers of the Majestera 3X are  ------- that their race car will outperform other vehicles in the annual racing tournament. , constant, confident, consistent, considerate
