problem,0,1,2,3
 Catillion Engineering ------- a portion of the proceeds from all products which are sold next week to the We Can Cancer Society. , donates, donating, will, will
 The ------- report on Mellior’s finances for the second quarter of the year will be published on the company’s Web site. , final, finally, finality, finalize
 Employees who are asked to work overtime during busy periods will be given ------- at one and a half times the regular hourly rate of pay. , vacation, acquisition, distribution, compensation
" ------- only three people are normally allowed to attend the Waynewright Business Conference, the company has decided to let five go this year. ", Unless, Because, Whether, Although
 All warehouse personnel who are not ------- to operate the new GF-39 forklift are required to take a special training on running it. , qualify, qualifier, qualified, qualification
" It takes a substantial amount of time -------for a city fair, with preparations beginning up to three years before the event. ", planner, to, plan, planned
" Finester Department Store usually has a major sale of winter clothes every January, ------- bringing in the new spring fashions. ", prior, in, just, across
 The government ------- urges people who have the flu to stay home in order to prevent further spread of the illness. , strong, strongly, strength, strengthen
 People with ------- headaches may find relief from constant pain by alternative treatment such as injections with botulinum. , persists, persisting, persistent, persistently
" Asorn ------- its line of kitchen counters and cabinets because the styles were no longer popular, but it will release new designs later this year. ", launched, enhanced, coordinated, discontinued
" The secretary orders office supplies once a week, and decides if more items are needed or if there are ------- enough. ", still, since, however, well
 The production team decided to try to fix the problems with the current cell phone prototype instead of starting over again and ------- a new one. , designed, designing, designs, designer
" Lamont Towers offers ------- accommodations, with high ceilings and lots of room in the layout to comfortably fit a family of four or five. ", space, spacious, spaciously, spaces
 The manager must take everyone’s schedules into ------- when handing out new assignments to ensure no one has too much work. , considerate, considerately, considering, consideration
" Timpany.com offers the best selection of musical instruments online, ------- in almost every type that a person could ever want. ", dealt, deals, deal, dealing
" The marketing team ------- the effectiveness of its advertising campaigns in a variety of ways, such as through focus groups, surveys, and interviews. ", benefits, assesses, dedicates, implicates
" The introductory course on wood carving teaches several different types of basic -------, including whittling with a knife and chipping with a chisel. ", technical, technically, techniques, technicalities
" Traffic on Johnson Street was backed up from Central Avenue to Georgia Road because of construction, and vehicles on Calumn Way were ------- moving very slowly. ", similarly, promptly, effortlessly, considerably
" Traditions of greetings in each country -------, so business travelers should familiarize themselves with customary practices so as not to offend hosts. ", differs, differently, differ, difference
" The Grandilla race car ------- needed some work, though it was still obvious to everyone that it had the potential to be an amazing vehicle. ", clearly, massively, knowingly, separately
